"name","Alma_mater"
"Arthur Leonard Schawlow","University of Toronto"
"Andrei Sakharov","Moscow State University"
"Kenneth Arrow","Columbia University"
"Kenneth Arrow","City College of New York"
"Hans Georg Dehmelt","University of Göttingen"
"Stanley Cohen (biochemist)","Oberlin College"
"Stanley Cohen (biochemist)","Brooklyn College"
"Stanley Cohen (biochemist)","University of Michigan"
"Har Gobind Khorana","University of Liverpool"
"Har Gobind Khorana","University of the Punjab"
"Leon M. Lederman","Columbia University"
"Leon M. Lederman","City College of New York"
"Chen-Ning Yang","University of Chicago"
"Chen-Ning Yang","Tsinghua University"
"Chen-Ning Yang","National Southwestern Associated University"
"Aage Bohr","University of Copenhagen"
"Jack Kilby","University of Wisconsin–Milwaukee"
"Jack Kilby","University of Illinois at Urbana–Champaign"
"Rudolph A. Marcus","McGill University"
"Val Logsdon Fitch","Columbia University"
"Val Logsdon Fitch","McGill University"
"Arvid Carlsson","Lund University"
"Walter Kohn","Harvard University"
"Walter Kohn","University of Toronto"
"Lloyd Shapley","Princeton University"
"Lloyd Shapley","Harvard University"
"Merton Miller","Harvard University"
"Merton Miller","Johns Hopkins University"
"Roger Guillemin","University of Burgundy"
"Roger Guillemin","University of Montreal"
"James Black (pharmacologist)","University of St Andrews"
"Antony Hewish","Gonville and Caius College Cambridge"
"Antony Hewish","King's College Taunton"
"Antony Hewish","Cavendish Laboratory"
"Robert Solow","Harvard University"
"Willard Boyle","Lower Canada College"
"Willard Boyle","McGill University"
"Simon van der Meer","Delft University of Technology"
"John Linsley","University of Minnesota"
"Joshua Lederberg","Columbia University"
"Joshua Lederberg","Stuyvesant High School"
"Joshua Lederberg","Yale University"
"Baruch Samuel Blumberg","Union College"
"Baruch Samuel Blumberg","Balliol College Oxford"
"Baruch Samuel Blumberg","Columbia University College of Physicians and Surgeons"
"Oliver Smithies","University of Oxford"
"Oliver Smithies","Balliol College Oxford"
"Robert Edwards (physiologist)","Bangor University"
"Robert Edwards (physiologist)","University of Edinburgh"
"Martin Rodbell","Johns Hopkins University"
"Martin Rodbell","University of Washington"
"John Pople","University of Cambridge"
"Irwin Rose","University of Chicago"
"Paul Berg","Case Western Reserve University"
"Paul Berg","Pennsylvania State University"
"Donald A. Glaser","California Institute of Technology"
"Donald A. Glaser","Case School of Engineering"
"Tsung-Dao Lee","University of Chicago"
"Tsung-Dao Lee","National Southwestern Associated University"
"Tsung-Dao Lee","Zhejiang University"
"Henry Way Kendall","Massachusetts Institute of Technology"
"Henry Way Kendall","Amherst College"
"David H. Hubel","McGill University"
"Ben Roy Mottelson","Purdue University"
